"#ID","domain","phylum","class","order","family","genus","species"
"NBDL-HK3RZTPCH4WJ2S","Eukaryota","Chordata","Actinopteri","Myctophiformes","Neoscopelidae","Scopelengys","Scopelengys tristis"
"NBDL-HHG28F5AKB4M5P","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus suezensis"
"NBDL-JFE9FMCXMY1HE0","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Alepocephalidae","Herwigia","Herwigia kreffti"
"NBDL-HHG28F50QBB4DE","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus"
"NBDL-HK3SXDVQJ2JGHC","Eukaryota","Chordata","Actinopteri","Perciformes","Anthiadidae","Lepidoperca","Lepidoperca filamenta"
"NBDL-HK3SZKVAHE6M97","Eukaryota","Chordata","Actinopteri","Acropomatiformes","Pentacerotidae","Pentaceros","Pentaceros decacanthus"
"NBDL-HK3SPRRTMG2WV0","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Platytroctidae","Normichthys","Normichthys yahganorum"
"NBDL-HK3QV5PVP4K1RD","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Brachaluteres","Brachaluteres jacksonianus"
"NBDL-HK3QQM1AH1NZFN","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lethrinidae","Lethrinus","Lethrinus nebulosus"
"NBDL-HK3SXDV5P2J6G4","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Epinephelus","Epinephelus malabaricus"
"NBDL-HZ4562DNHMVZN2","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Rhinecanthus","Rhinecanthus aculeatus"
"NBDL-HK3QD0TBNSNXDF","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Kaiwarinus","Kaiwarinus equula"
"NBDL-HK3PNATBNS4H1Z","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus edmundsi"
"NBDL-HRXJ1RFSJ7E4FW","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Choerodon","Choerodon zamboangae"
"NBDL-HK3SMQEKJSNXD7","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Sillaginidae","Sillago","Sillago robusta"
"NBDL-HK3QY5Q6K9TXJB","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Aracanidae","Aracana","Aracana aurita"
"NBDL-HK3PNAT1HS4197","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus albifrons"
"NBDL-HK3RX9E6HZBD2A","Eukaryota","Chordata","Actinopteri","Trachichthyiformes","Trachichthyidae","Optivus","Optivus agrammus"
"NBDL-J1XVBWN6PT5K1A","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon burgessi"
"NBDL-HK3QD0S2MSA3ZY","Eukaryota","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Centroscymnus","Centroscymnus owstonii"
"NBDL-HR5SFP5EGM7PFX","Eukaryota","Chordata","Actinopteri","Perciformes","Anthiadidae","Luzonichthys","Luzonichthys seaver"
"NBDL-HR5S2B5YQ2HFD8","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Neoglyphidodon","Neoglyphidodon nigroris"
"NBDL-HK4A8AFRHAHG08","Eukaryota","Chordata","Actinopteri","Carangiformes","Sphyraenidae","Sphyraena","Sphyraena forsteri"
"NBDL-HR5S2B3KM342P3","Eukaryota","Chordata","Actinopteri","Lophiiformes","Antennariidae","Abantennarius","Antennarius nummifer"
